PostcodeStub,Freq,Fixed_Postcode
OX4,62829,Oxford
OX16,61788,Banbury
OX14,43753,Abingdon
OX3,42162,Oxford
OX26,34613,Bicester
OX11,34529,Didcot
OX2,32289,Oxford
OX28,29222,Witney
OX5,28455,Kidlington
OX7,26815,Chipping Norton
OX12,25790,Wantage
OX29,24215,Witney
OX10,23685,Wallingford
OX18,23646,"Bampton, Burford, Carterton"
OX17,20490,Banbury
NN13,20209,Northampton
OX15,18699,Banbury
OX1,17223,Oxford
OX13,13583,Abingdon
OX9,11715,Thame
OX25,9586,Bicester
OX44,8151,Oxford
OX33,8075,Oxford
SN7,8064,Swindon
NN11,6653,Northampton
SL6,5460,Slough
OX27,5351,Bicester
ZZ99,5251,Other Regions
OX20,5236,Woodstock
HP18,4940,Hemel Hempstead
SL1,4604,Slough
MK18,4495,Milton Keynes
HP13,4015,Hemel Hempstead
SN3,3978,Swindon
RG9,3721,Reading
OX49,3620,Watlington
SN2,3561,Swindon
SL2,3465,Slough
RG30,3334,Reading
HP21,3316,Hemel Hempstead
HP12,2722,Hemel Hempstead
SL4,2716,Slough
RG2,2699,Reading
MK6,2667,Milton Keynes
SL3,2665,Slough
HP19,2656,Hemel Hempstead
NN3,2589,Northampton
CV36,2523,Other regions
RG1,2471,Reading
MK3,2458,Milton Keynes
RG4,2427,Reading
SL7,2426,Slough
RG8,2357,Reading
LU7,2345,Other regions
HP14,2280,Hemel Hempstead
GL7,2147,Other regions
RG14,2144,Reading
MK14,2140,Milton Keynes
MK4,2102,Milton Keynes
HP22,2084,Hemel Hempstead
SN5,2014,Swindon
MK17,1995,Milton Keynes
RG6,1988,Reading
OX39,1986,Chinnor
HP5,1933,Hemel Hempstead
RG5,1885,Reading
SN25,1832,Swindon
MK16,1788,Milton Keynes
RG31,1786,Reading
MK13,1771,Milton Keynes
SN8,1751,Swindon
SN1,1749,Swindon
HP10,1744,Hemel Hempstead
RG12,1716,Reading
RG7,1683,Reading
SN6,1670,Swindon
MK2,1655,Milton Keynes
HP20,1604,Hemel Hempstead
HP15,1601,Hemel Hempstead
RG10,1564,Reading
RG17,1557,Reading
RG18,1529,Reading
HP17,1419,Hemel Hempstead
HP27,1419,Hemel Hempstead
NN12,1378,Northampton
RG41,1355,Reading
GL54,1346,Other regions
NN5,1339,Northampton
GL56,1332,Other regions
SN4,1320,Swindon
HP11,1300,Hemel Hempstead
RG40,1297,Reading
HP23,1291,Hemel Hempstead
JE2,1265,Other regions
RG20,1255,Reading
NN4,1207,Northampton
RG19,1142,Reading
CV35,1103,Other regions
SL9,1089,Slough
MK46,1083,Milton Keynes
