Variable,FeatureOrMeta,SubgroupAnalysis,FeatureCategory
TrainingTesting,Meta,No,Meta
Being in hospital group,Meta,No,Meta
Index date,Meta,No,Meta
ClusterID,Meta,No,Meta
SpellID,Meta,No,Meta
EpisodeID,Meta,No,Meta
EpisodeStartDate,Meta,No,Meta
EpisodeEndDate,Meta,No,Meta
LinkedBirthMonth,Meta,No,Meta
SpineCheckDate,Meta,No,Meta
ConsultantMainSpecialtyCode,Meta,No,Meta
ConsultantCodeAnon,Meta,No,Meta
Admission method,Meta,No,Meta
Gender,Meta,Yes,Meta
Age group,Meta,Yes,Meta
Ethnicity group,Meta,Yes,Meta
IMD group,Meta,Yes,Meta
Admission source,Meta,Yes,Meta
CharlsonCategory,Meta,No,Meta
ElixhauserCategory,Meta,Yes,Meta
Postcode region,Meta,Yes,Meta
Admission daytime,Meta,Yes,Meta
Admission weekday,Meta,Yes,Meta
Specialty,Meta,Yes,Meta
AdmissionDate,Meta,No,Meta
DischargeDate,Meta,No,Meta
"Adm2index, hours",Meta,No,Meta
"LOS after index date, hour",Meta,No,Meta
"LOS after index date, day",Outcome,No,Outcome
Imminent discharge within 24 hours,Outcome,No,Outcome
Imminent discharge within 48 hours,Meta,No,Meta
7-days longer stay,Meta,No,Meta
7-days stay,Meta,No,Meta
7-14 days stay,Meta,No,Meta
14-30 days stay,Meta,No,Meta
Stay beyond 30 days,Meta,No,Meta
LinkedDeathdate,Meta,No,Meta
ToMortalityHourDuration,Meta,No,Meta
30-day mortality,Outcome,No,Outcome
Male,Feature,No,Demographics
Age,Feature,No,Demographics
"Height, cm",Feature,No,Demographics
"Weight, kg",Feature,No,Demographics
BMI,Feature,No,Demographics
White,Feature,No,Demographics
Mixed,Feature,No,Demographics
Asian or Asian British,Feature,No,Demographics
Black or Black British,Feature,No,Demographics
Other Ethnicity Groups,Feature,No,Demographics
Not Stated/Not Known,Feature,No,Demographics
Abingdon,Feature,No,Home geographic location
Northampton,Feature,No,Home geographic location
Swindon,Feature,No,Home geographic location
"Bampton, Burford, Carterton",Feature,No,Home geographic location
Didcot,Feature,No,Home geographic location
Hemel Hempstead,Feature,No,Home geographic location
Thame,Feature,No,Home geographic location
Watlington,Feature,No,Home geographic location
Woodstock,Feature,No,Home geographic location
Banbury,Feature,No,Home geographic location
Oxford,Feature,No,Home geographic location
Bicester,Feature,No,Home geographic location
Chipping Norton,Feature,No,Home geographic location
Other regions,Feature,No,Home geographic location
Wallingford,Feature,No,Home geographic location
Slough,Feature,No,Home geographic location
Chinnor,Feature,No,Home geographic location
Reading,Feature,No,Home geographic location
Milton Keynes,Feature,No,Home geographic location
Wantage,Feature,No,Home geographic location
Kidlington,Feature,No,Home geographic location
Witney,Feature,No,Home geographic location
Admission day of year,Feature,No,Admission time & source
Admission hour time of day,Feature,No,Admission time & source
Index day of year,Feature,No,Index date features
Index hour time of day,Feature,No,Index date features
Usual place of residence,Feature,No,Admission time & source
Non-NHS institutional care,Feature,No,Admission time & source
Other NHS Provider,Feature,No,Admission time & source
IMDScore,Feature,No,Home geographic location
Charlson,Feature,No,Comorbidity indexes
Elixhauser,Feature,No,Comorbidity indexes
Numnber of admissions within 365 days before index date,Feature,No,Previous hospital exposure
"Overall LOS within 365 days before index date, hour",Feature,No,Previous hospital exposure
"Maximum LOS of prior admissions within 365 days before index date, hour",Feature,No,Previous hospital exposure
"Minimum LOS of prior admissions within 365 days before index date, hour",Feature,No,Previous hospital exposure
"Mean LOS of prior admissions within 365 days before index date, hour",Feature,No,Previous hospital exposure
"Median LOS of prior admissions within 365 days before index date, hour",Feature,No,Previous hospital exposure
LOS SD of prior admissions within 365 days before index date,Feature,No,Previous hospital exposure
Number of early 30-day readmissions within 365 days before index date,Feature,No,Readmission characteristics
"Time elapsed from most recent early 30-day readmission within 365 days before index date, day",Feature,No,Readmission characteristics
Diagnosis of abdominal disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of acute renal failure within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of allergies and poisoning within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of anaemia and diseases of white blood cells within current admission (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of aortic, venous and lymphatic disorders within current admission (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of arthritis and joint disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bacterial infection within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bronchitis and asthma within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cancers within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cardiac disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of congestive heart failure within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of diabetes mellitus within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of fever within current admission (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of fluid disorders, nauea and vomiting within current admission (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of gastrointestinal and esophageal disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of gastrointestinal disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of genitourinary disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of hiv and other infections within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of immunity and hematologic disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of infective arthritis and osteomyelitis within current admission (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of influenza, tonsilitis and urti within current admission (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of injuries due to external causes within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of intestinal infection within current admission (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of ischemia, brain damage and coma within current admission (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of liver and pancreatic disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of medical and device complications within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of meningitis and encephalitis within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mental disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mycoses within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of myocardial infarction within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of nervous system disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pleurisy within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pneumonia within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of renal and bladder disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory failure and arrest within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of septicaemia and shock within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of skin and subcutaenous disorders within current admission (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of spinal, skull and face fractures and trauma within current admission (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of thyroid and endocrine disorders within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of tuberculosis within current admission (Yes/No),Feature,No,Specific comorbidities
Diagnosis of abdominal disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of acute renal failure within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of allergies and poisoning within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of anaemia and diseases of white blood cells within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of aortic, venous and lymphatic disorders within 24 hours before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of arthritis and joint disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bacterial infection within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bronchitis and asthma within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cancers within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cardiac disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of congestive heart failure within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of diabetes mellitus within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of fever within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of fluid disorders, nauea and vomiting within 24 hours before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of gastrointestinal and esophageal disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of gastrointestinal disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of genitourinary disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of hiv and other infections within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of immunity and hematologic disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of infective arthritis and osteomyelitis within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of influenza, tonsilitis and urti within 24 hours before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of injuries due to external causes within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of intestinal infection within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of ischemia, brain damage and coma within 24 hours before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of liver and pancreatic disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of medical and device complications within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mental disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mycoses within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of myocardial infarction within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of nervous system disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pleurisy within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pneumonia within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of renal and bladder disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of septicaemia and shock within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of skin and subcutaenous disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of spinal, skull and face fractures and trauma within 24 hours before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of thyroid and endocrine disorders within 24 hours before index date (Yes/No),Feature,No,Specific comorbidities
Number of abdominal disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of acute renal failure diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of allergies and poisoning diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of anaemia and diseases of white blood cells diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Number of aortic, venous and lymphatic disorders diagnosis within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Number of arthritis and joint disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of bacterial infection diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of bronchitis and asthma diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of cancers diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of cardiac disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of congestive heart failure diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of diabetes mellitus diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of fever diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Number of fluid disorders, nauea and vomiting diagnosis within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Number of gastrointestinal and esophageal disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of gastrointestinal disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of genitourinary disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of hiv and other infections diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of immunity and hematologic disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of infective arthritis and osteomyelitis diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Number of influenza, tonsilitis and urti diagnosis within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Number of injuries due to external causes diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of intestinal infection diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Number of ischemia, brain damage and coma diagnosis within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
